image,source
000001.jpg,http://www.herpwiki.com/photo/1286-large-micrurus_tener_tener.jpg
000002.jpg,https://c1.staticflickr.com/9/8044/8109766359_e2b3efdd30_b.jpg
000003.jpg,https://www.joelsartore.com/assets/stock/ANI097/ANI097-00287-1920x1278.jpg
000004.jpg,http://www.thehibbitts.net/troy/photo/snakes/m.tener.tx.jasper.10.1a.jpg
000005.jpg,https://live.staticflickr.com/7866/47322456711_2a234be9e8_b.jpg
000006.jpg,https://www.herpmapper.org/voucher/318049/full.jpg
000007.jpg,https://www.joelsartore.com/assets/stock/ANI097/ANI097-00004.jpg
000008.jpg,https://c2.staticflickr.com/8/7075/6925316126_d59e994546_b.jpg
000009.jpg,https://www.herpmapper.org/voucher/111351/full.jpg
000010.jpg,https://live.staticflickr.com/8331/8109798698_a66f4ab2fa_b.jpg
000011.jpg,https://c1.staticflickr.com/9/8299/7817861318_e55f2c9ee9_b.jpg
000012.jpg,https://farm6.staticflickr.com/5491/14257628628_fcd123f72f_b.jpg
000013.jpg,https://c2.staticflickr.com/8/7213/7377079108_6475b5acd4_b.jpg
000014.jpg,https://c1.staticflickr.com/5/4079/4824298753_dfa1647117_b.jpg
000015.jpg,https://live.staticflickr.com/1565/26599290641_ac5ec08d50_b.jpg
000016.jpg,http://www.thehibbitts.net/troy/photo/snakes/m.tener.tx.valverde.03.1b.jpg
000017.jpg,https://i1.wp.com/bugsinthenews.info/wp-content/uploads/2012/05/Texas-Coral-Snake-Micrurus-tener-caudal-region-Pam-S-Wimberley-Texas-30-April-2012.jpg
000018.jpg,https://c1.staticflickr.com/9/8261/8704528943_895a0646a3_b.jpg
000019.jpg,https://farm8.staticflickr.com/7450/13935581030_783d8fb923_b.jpg
000020.jpg,https://www.joelsartore.com/assets/stock/ANI074/ANI074-00124-1920x1278.jpg
000021.jpg,http://www.thehibbitts.net/troy/photo/snakes/m.tener.tx.sanpatricio.15.1.1257.jpg
000022.jpg,https://c2.staticflickr.com/8/7436/8868106999_2733bff24f_b.jpg
000023.jpg,https://i2.wp.com/bugsinthenews.info/wp-content/uploads/2012/05/CSC_0114-Jenny-C-Texas-Coral-Snake-caudal-region-06-Apr-2012-Nolanville-TX.jpg
000024.jpg,http://thehibbitts.net/troy/photo/snakes/m.tener.tx.harris.09.1a.jpg
000025.jpg,http://www.thehibbitts.net/troy/photo/snakes/m.tener.tx.sanpatricio.15.1.1271.jpg
000026.jpg,https://www.herpmapper.org/voucher/169302/full.jpg
000027.jpg,https://live.staticflickr.com/8683/16258272302_4e579885e5_b.jpg
000028.jpg,http://bugsinthenews.info/wp-content/uploads/2012/05/Texas-Coral-Snake-Micrurus-tener-Pam-S-Wimberley-Texas-30-April-2012-1.jpg
000029.jpg,http://thehibbitts.net/troy/photo/snakes/m.tener.tx.karnes.99.jpg
000030.jpg,https://i2.wp.com/bugsinthenews.info/wp-content/uploads/2010/05/DORSAL-HEAD-AND-BODY.jpg
000031.jpg,https://c2.staticflickr.com/4/3737/13456294174_1e372e4160_b.jpg
000032.jpg,https://live.staticflickr.com/1485/26689607661_64666afd95_b.jpg
000033.jpg,http://thehibbitts.net/troy/photo/snakes/m.tener.tx.harris.09.1g.jpg
000034.jpg,https://live.staticflickr.com/7816/32599765907_13829c6eb5_b.jpg
000035.jpg,https://littlewildstreak.files.wordpress.com/2016/05/coral.jpg
