image,source
000001.jpg,https://upload.wikimedia.org/wikipedia/commons/0/04/G-Bartolotti_SK.jpg
000002.jpg,https://virginiaherpetologicalsociety.com/reptiles/snakes/scarlet-kingsnake/sp_scarletkingsnake002.jpg
000003.jpg,https://virginiaherpetologicalsociety.com/reptiles/snakes/scarlet-kingsnake/sp_scarletkingsnake001.jpg
000004.jpg,https://virginiaherpetologicalsociety.com/reptiles/snakes/scarlet-kingsnake/sp-scarlet kingsnake-ps2.jpg
000005.jpg,https://virginiaherpetologicalsociety.com/reptiles/snakes/scarlet-kingsnake/sp_scarletkingsnake003.jpg
000006.jpg,https://virginiaherpetologicalsociety.com/reptiles/snakes/scarlet-kingsnake/_images/scarlet_kingsnake_100.jpg
000007.jpg,https://virginiaherpetologicalsociety.com/reptiles/snakes/scarlet-kingsnake/_images/scarlet_kingsnake_sussex_co_charles_baker3.jpg
000008.jpg,http://www.virginiaherpetologicalsociety.com/reptiles/snakes/scarlet-kingsnake/sp-scarlet%20kingsnake-ps1.jpg
000009.jpg,https://virginiaherpetologicalsociety.com/reptiles/snakes/scarlet-kingsnake/_images/scarlet_kingsnake_101.jpg
000010.jpg,https://virginiaherpetologicalsociety.com/reptiles/snakes/scarlet-kingsnake/_images/scarlet_kingsnake_sussex_co_charles_baker2.jpg
000011.jpg,http://herpsofnc.org/wp-content/uploads/2016/02/Lampropeltis-triangulum-elapsoides-2-VanDevender-copy.jpg
000012.jpg,https://www.pbs.org/wgbh/nova/media/original_images/scarlet-kingsnake.jpg
000013.jpg,https://virginiaherpetologicalsociety.com/reptiles/snakes/scarlet-kingsnake/_images/scarlet_kingsnake_200.jpg
000014.jpg,https://virginiaherpetologicalsociety.com/reptiles/snakes/scarlet-kingsnake/_images/scarlet_kingsnake_102.jpg
000015.jpg,http://herpsofnc.org/wp-content/uploads/2016/02/Lampropeltis_triangulum_elapsoides-Bartlett2-copy.jpg
000016.jpg,http://2.bp.blogspot.com/-Iqx9KtBGPWk/Uh17_d3EuBI/AAAAAAAAAbM/G5YOeR-CU0k/s1600/Scarlet+Kingsnake1.jpg
000017.jpg,https://66.media.tumblr.com/tumblr_m9r2otJnlf1rw6hhbo1_500.jpg
000018.jpg,http://4.bp.blogspot.com/-Kqq3D-wuuXs/T4uarB2HXSI/AAAAAAAADow/4J6-FmMJ7QQ/w1200-h630-p-k-no-nu/Scarlet+Kingsnake.jpg
000019.jpg,https://media1.s-nbcnews.com/j/newscms/2014_24/502596/scarlet-kingsnake_d5f171f1f2104d3b68b767f386000688.fit-760w.jpg
000020.jpg,https://3z2dsg30wpre3s82ui42uwfo-wpengine.netdna-ssl.com/wp-content/uploads/2013/11/newscarletkingsnake2-1.jpg
000021.jpg,http://www.snake-removal.com/scarletkingsnake.jpg
000022.jpg,http://www.kingsnake.com/blog/uploads/2scarlet.jpg
000023.jpg,https://www.reptilefact.com/wp-content/uploads/2017/01/Scarlet-King-Snake-Belly.jpg
000024.jpg,http://nwdistrict.ifas.ufl.edu/nat/files/2018/11/Roadkilled-Scarlet-Kingsnake-576x1024.jpg
000025.jpg,http://rivista-cdn.reptilesmagazine.com/scarlet-kingsnake-shutterstock_476118382.jpg
000026.jpg,https://3c1703fe8d.site.internapcdn.net/newman/gfx/news/hires/2014/studyfindsmi.jpg
000027.jpg,https://www.reptilefact.com/wp-content/uploads/2017/01/Scarlet-King-Snake-Care.jpg
000028.jpg,https://virginiaherpetologicalsociety.com/reptiles/snakes/scarlet-kingsnake/scarletking-paul-sattler.jpg
000029.jpg,http://www.jeffpippen.com/herps/scarletkingsnake070314-6369painthillz.jpg
000030.jpg,http://reptileworldserpentarium.com/images/Snakes/Nonvenomous/Kingsnake-Scarlet-8803.jpg
000031.jpg,https://virginiaherpetologicalsociety.com/reptiles/snakes/scarlet-kingsnake/_images/scarlet_kingsnake_sussex_co_charles_baker1.jpg
000032.jpg,http://rivista-cdn.reptilesmagazine.com/scarlet-kingsnake-shutterstock_1049517005.jpg
000033.jpg,http://3z2dsg30wpre3s82ui42uwfo.wpengine.netdna-cdn.com/wp-content/uploads/2013/11/newscarletkingsnake4-1.jpg
000034.jpg,http://www.virginiaherpetologicalsociety.com/reptiles/snakes/northern-scarletsnake/sp_scarletsnake003.jpg
000035.jpg,https://i.ytimg.com/vi/Yl2eeMkqEys/maxresdefault.jpg
000036.jpg,https://c1.staticflickr.com/3/2827/9294401398_557ded6693_b.jpg
000037.jpg,https://img00.deviantart.net/64ef/i/2014/119/c/8/scarlet_kingsnake_iv_by_crimsonrose2-d7giy5l.jpg
000038.jpg,https://floridahikes.com/wp-content/uploads/2011/11/Scarlet-kingsnake.jpg
000039.jpg,http://herpsofnc.org/wp-content/uploads/2015/09/Lampropeltis-triangulum-elapsoides-2-VanDevender-copy.jpg
000040.jpg,https://s-media-cache-ak0.pinimg.com/736x/90/f6/0b/90f60bcab7148b2c59e47dc8bc57b07d.jpg
000041.jpg,http://2.bp.blogspot.com/-vlHhzYye2e8/Uh18NpaJpYI/AAAAAAAAAbU/ZOXG_znSWHA/s1600/Scarlet+Kingsnake.jpg
000042.jpg,http://img1.etsystatic.com/002/0/5231149/il_570xN.369298003_gtph.jpg
000043.jpg,https://virginiaherpetologicalsociety.com/reptiles/snakes/scarlet-kingsnake/_images/scarlet_kingsnake_venter_sussex_co_charles_baker1.jpg
000044.jpg,https://i.ytimg.com/vi/AwJVDt-XEHQ/maxresdefault.jpg
000045.jpg,https://www.jeffpippen.com/herps/scarletkingsnake070314-6367painthillz.jpg
000046.jpg,http://reptileworldserpentarium.com/images/Snakes/Nonvenomous/Scarlet-Kingsnake-8504.jpg
000047.jpg,https://classconnection.s3.amazonaws.com/1538/flashcards/544858/jpg/scarlet-king-snake.jpg
000048.jpg,https://c1.staticflickr.com/3/2808/10046350765_ff150f5312_b.jpg
000049.jpg,http://www.thetaxidermystore.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/1/4/14161_-_3_of_7.jpg
000050.jpg,http://www.forestryimages.org/images/768x512/1119365.jpg
000051.jpg,http://farm1.staticflickr.com/240/448827021_b098668a38_z.jpg
000052.jpg,https://i.ytimg.com/vi/8N0FzE3vhS8/maxresdefault.jpg
000053.jpg,https://i0.wp.com/www.virginiaherpetologicalsociety.com/reptiles/snakes/scarlet-kingsnake/sp-scarlet%20kingsnake-ps2.jpg
000054.jpg,http://www.virginiaherpetologicalsociety.com/reptiles/snakes/scarlet-kingsnake/_images/scarlet_kingsnake_bedford_co_charles_baker.jpg
000055.jpg,https://i.imgur.com/q58LvUH.jpg
000056.jpg,http://www.virginiaherpetologicalsociety.com/reptiles/snakes/northern-scarletsnake/sp_scarletsnake004.jpg
000057.jpg,https://www.reptilefact.com/wp-content/uploads/2018/09/Scarlet-Snake.jpg
000058.jpg,https://media.mnn.com/assets/images/2017/02/scarlet-kingsnakes.jpg
000059.jpg,http://reptileworldserpentarium.com/images/Snakes/Nonvenomous/Kingsnake-Scarlet-on-white-8997.jpg
000060.jpg,http://3.bp.blogspot.com/-rjkzOZHDa_o/UXz9J_OG0TI/AAAAAAAAIP8/h7slRGNtTKk/s1600/Scarlet+King+snake+2.jpg
000061.jpg,https://www.audubon.org/sites/default/files/styles/slideshow/public/scarlet_kingsnake061510c.jpg
000062.jpg,http://undergroundreptiles.com/wp-content/uploads/images/products/p-3950-scarletkingsnakee-600x600.jpg
000063.jpg,https://img00.deviantart.net/2474/i/2011/327/a/0/scarlet_king_snake_by_vejur-d4h4bwr.jpg
000064.jpg,http://www.jeffpippen.com/herps/scarletkingsnake070314-6352painthillz.jpg
000065.jpg,https://fieldtripearth.org/wp-content/uploads/2016/02/04_scarlet_snake.jpg
